,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
119,"Cornelia Street","Taylor Swift",755879,https://open.spotify.com/track/12M5uqx0ZuwkpLp5rJim1a
120,"Baguettes in the Face (feat. NAV, Playboi Carti & A Boogie Wit da Hoodie)",Mustard,748512,https://open.spotify.com/track/2zjGJ0dChMR0KxBZS15aqo
121,Youngblood,"5 Seconds of Summer",746340,https://open.spotify.com/track/2iUXsYOEPhVqEBwsqP70rE
122,"Shotta Flow (Feat. Blueface) [Remix]","NLE Choppa",743529,https://open.spotify.com/track/67XyC1GdSkKb9sbRRkUDXS
123,"Boy With Luv (feat. Halsey)",BTS,742252,https://open.spotify.com/track/5KawlOMHjWeUjQtnuRs22c
124,"Cinnamon Girl","Lana Del Rey",740646,https://open.spotify.com/track/2mdEsXPu8ZmkHRRtAdC09e
125,"London Boy","Taylor Swift",740133,https://open.spotify.com/track/1LLXZFeAHK9R4xUramtUKw
126,"Graduation (with Juice WRLD)","benny blanco",739825,https://open.spotify.com/track/6cjSh516BbrNUs213jDAGm
127,HP,Maluma,736425,https://open.spotify.com/track/1LIqNVhaIgxXUt2eVoIQJ3
128,Perfect,"Ed Sheeran",732059,https://open.spotify.com/track/0tgVpDi06FyKpA1z0VMD4v
129,Goteo,Duki,730872,https://open.spotify.com/track/1EoEU4HY57qaITp06TkC6B
130,"Call You Mine","The Chainsmokers",730522,https://open.spotify.com/track/1SNiXDwSilLujcYdvfqVpT
131,"Taki Taki (feat. Selena Gomez, Ozuna & Cardi B)","DJ Snake",730491,https://open.spotify.com/track/0KoiMHhqKLoL4xM54rcWYY
132,"Hot (feat. Gunna)","Young Thug",728996,https://open.spotify.com/track/5Z8HZM6iQMhhqyPcCGY5g9
133,"Only Human","Jonas Brothers",723668,https://open.spotify.com/track/0DiDStADDVh3SvAsoJAFMk
134,"Right Back (feat. A Boogie Wit Da Hoodie)",Khalid,722111,https://open.spotify.com/track/6PYnUsNEpYC7A4BS2sjw3L
135,Better,Khalid,719269,https://open.spotify.com/track/6zeeWid2sgw4lap2jV61PZ
136,SAD!,XXXTENTACION,717124,https://open.spotify.com/track/3ee8Jmje8o58CHK66QrVC2
